"Ссылка-href","Польз","Наименование","Адрес","Район","цена","Общая площадь","Этаж","Жилая площадь","Количество комнат","Площадь кухни","Высота потолков","Этажей в доме","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_455_m_19_et._3081655543","","1-к. квартира, 45,5 м², 1/9 эт.","Омская область, Омск, посёлок Чкаловский, Космический пр-т, 20к5","р-н Октябрьский","4 300 000","45.5","","20","1","19","","9","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_647_m_19_et._3539127039","-","3-к. квартира, 64,7 м², 1/9 эт.","Омская область, Омск, ул. Крупской, 17/3","р-н Кировский","5 395 000","64.7","","39","3","9","","9","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_91_m_89_et._2953057736","Этажи Омск","3-к. квартира, 91 м², 8/9 эт.","Омская область, Омск, Омская ул., 77/2","р-н Центральный","9 990 000","91","8","","3","33","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_362_m_910_et._2537423548","-","1-к. квартира, 36,2 м², 9/10 эт.","Омская область, Омск, 21-я Амурская ул., 35","р-н Центральный","3 730 000","36.2","","14","1","14","","10","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/4-k._kvartira_60_m_35_et._3304185439","Квартсервис","4-к. квартира, 60 м², 3/5 эт.","Омская область, Омск, ул. Авиагородок, 34А","р-н Кировский","4 770 000","60","","43.8","4","5.5","250","5","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_581_m_25_et._3409417925","","3-к. квартира, 58,1 м², 2/5 эт.","Омская область, Омск, Моторная ул., 13","р-н Ленинский","5 297 000","58.1","","38","3","7","","5","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_58_m_15_et._2667209226","Самолет плюс Омск-Центр Агентство недвижимости","3-к. квартира, 58 м², 1/5 эт.","Омская область, Омск, микрорайон Звёздный, ул. Бережного, 5","р-н Кировский","5 000 000","58","","40","3","6","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/2-k._kvartira_63_m_910_et._3307225139","Самолет плюс Омск-Центр Агентство недвижимости","2-к. квартира, 63 м², 9/10 эт.","Омская область, Омск, ул. Завертяева, 13к1","р-н Центральный","6 000 000","63","9","","2","10","","10","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_63_m_15_et._2883008483","-","3-к. квартира, 63 м², 1/5 эт.","Омская область, Омск, микрорайон Городок Нефтяников, ул. Блюхера, 14","р-н Советский","4 600 000","63","","50","3","4.5","","5","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/snimu_2-k._kvartiru_3417098737","-","Сниму 2-к. квартиру","Омская область, Омск, микрорайон Звёздный, ул. Бережного, 5","р-н Кировский","15 000","","","","2","","","","","","","","","","","","","","","","","","","","",""
